Place of Residence,Fiscal Year,adult_obesity_value,children_in_poverty_value,income_inequality_value,median_household_income_value,some_college_value,unemployment_value,violent_crime_value,uninsured_value,density,percent_graduate_or_professional_degree,percent_some_college,percent_less_than_9th_grade,percent_associates_degree,percent_bachelors_degree_or_higher,percent_high_school_graduate,count
CLARE CITY,2016,,,,,,,,,436.278,0,19.5,2.6,25.8,9.7,39.8,221
CLARE CITY,2017,,,,,,,,,436.278,0,19.5,2.6,25.8,9.7,39.8,221
CLARE CITY,2007,,,,,,,,,240.842,2.4,19.5,8.2,10.6,9.4,39.8,122
CLARE CITY,2008,,,,,,,,,240.842,2.4,19.5,8.2,10.6,9.4,39.8,122
CLARE CITY,2009,,,,,,,,,240.842,2.4,19.5,8.2,10.6,9.4,39.8,122
CLARE CITY,2010,,,,,,,,,223.075,2.4,19.5,8.2,10.6,9.4,39.8,113
CLARE CITY,2011,,,,,,,,,290.194,2,19.5,3.1,19.4,8.2,39.8,147
CLARE CITY,2012,,,,,,,,,321.780,1.7,19.5,1.7,22.5,6.7,39.8,163
CLARE CITY,2013,,,,,,,,,331.651,0,19.5,1.7,28,7.6,39.8,168
CLARE CITY,2014,,,,,,,,,375.081,0,19.5,2.2,31.3,10.4,39.8,190
CLARE CITY,2015,,,,,,,,,457.994,0,19.5,2,33.6,9.4,39.8,232
DERBY CITY,2016,,,,,,,,,511.397,0,50.5,7.8,15.6,2.2,26.4,133
DERBY CITY,2017,,,,,,,,,511.397,0,50.5,7.8,15.6,2.2,26.4,133
DERBY CITY,2007,,,,,,,,,649.820,0,50.5,2.3,5.7,11.4,26.4,169
DERBY CITY,2008,,,,,,,,,649.820,0,50.5,2.3,5.7,11.4,26.4,169
DERBY CITY,2009,,,,,,,,,649.820,0,50.5,2.3,5.7,11.4,26.4,169
DERBY CITY,2010,,,,,,,,,480.636,0,50.5,2.3,5.7,11.4,26.4,125
DERBY CITY,2011,,,,,,,,,446.031,0,50.5,0,4.2,12.5,26.4,116
DERBY CITY,2012,,,,,,,,,419.115,0,50.5,2.6,5.1,3.8,26.4,109
DERBY CITY,2013,,,,,,,,,472.946,0,50.5,3.3,14.3,1.1,26.4,123
DERBY CITY,2014,,,,,,,,,396.044,0,50.5,5.7,18.6,1.4,26.4,103
DERBY CITY,2015,,,,,,,,,507.552,0,50.5,7.7,13.2,2.2,26.4,132
BRONSON CITY,2016,,,,,,,,,1014.073,1,30.7,1,14.4,7.7,32.7,310
BRONSON CITY,2017,,,,,,,,,1014.073,1,30.7,1,14.4,7.7,32.7,310
